task,shot,dataset,combo,Final Accuracy,Final F1,Final AUROC
Node,1shot,Cora,GraphMAE+PSP,0.0932±0.0365,0.0241±0.0085,0.4546±0.0707
Node,1shot,Cora,GraphMAE+ProNoG,0.4208±0.0636,0.3590±0.0306,0.7952±0.0235
Node,1shot,Cora,GraphMAE+Prodigy,0.2144±0.0430,0.1045±0.0199,0.7770±0.0426
Node,1shot,Cora,GraphMAE+RELIEF,0.1265±0.0375,0.0000±0.0000,0.0000±0.0000
Node,1shot,Cora,GraphMAE+SelfPro,0.4730±0.0571,0.3559±0.0529,0.8030±0.0200
Node,1shot,Cora,GraphMAE+UniPrompt,0.3820±0.0361,0.3071±0.0307,0.7962±0.0332
Node,1shot,Cora,MultiGprompt+MultiGprompt,0.5776±0.0485,0.5399±0.0439,0.8813±0.0164
Node,1shot,Cora,None+All-in-one,0.1312±0.0310,0.0369±0.0126,0.7473±0.0413
Node,1shot,Cora,None+EdgePrompt,0.2306±0.0407,0.1478±0.0071,0.6540±0.0214
Node,1shot,Cora,None+EdgePromptplus,0.2263±0.0475,0.1687±0.0557,0.6484±0.0156
Node,1shot,Cora,None+GPF,0.1831±0.0628,0.0436±0.0120,0.6787±0.0974
Node,1shot,Cora,None+GPF-plus,0.4926±0.1141,0.4556±0.1159,0.8678±0.0228
Node,1shot,Cora,None+GPPT,0.2612±0.0589,0.1668±0.0560,0.7033±0.0583
Node,1shot,Cora,None+Gprompt,0.5185±0.0831,0.4771±0.0932,0.8233±0.0627
Node,1shot,Cora,None+GraphPrompter,0.2150±0.0389,0.1513±0.0304,0.6588±0.0343
Node,1shot,Cora,None+None,0.2232±0.0613,0.1831±0.0720,0.7544±0.0363
Node,1shot,Cora,None+PSP,0.1115±0.0407,0.0290±0.0102,0.5074±0.0362
Node,1shot,Cora,None+ProNoG,0.2838±0.0400,0.2450±0.0386,0.6665±0.0424
Node,1shot,Cora,None+Prodigy,0.1416±0.0507,0.0526±0.0264,0.6548±0.0096
Node,1shot,Cora,None+RELIEF,0.1237±0.0414,0.0000±0.0000,0.0000±0.0000
Node,1shot,Cora,None+SelfPro,0.2455±0.0167,0.2175±0.0139,0.6356±0.0113
Node,1shot,Cora,None+UniPrompt,0.2131±0.0441,0.1619±0.0309,0.6239±0.0436
Node,1shot,Wisconsin,DGI+All-in-one,0.5290±0.0746,0.3163±0.0805,0.6745±0.0266
Node,1shot,Wisconsin,DGI+EdgePrompt,0.2514±0.1340,0.1882±0.0748,0.5528±0.0221
Node,1shot,Wisconsin,DGI+EdgePromptplus,0.2411±0.1276,0.1835±0.0681,0.5499±0.0203
Node,1shot,Wisconsin,DGI+GPF,0.6468±0.0478,0.4912±0.0261,0.7366±0.0383
Node,1shot,Wisconsin,DGI+GPF-plus,0.7622±0.0439,0.6692±0.0469,0.9152±0.0459
Node,1shot,Wisconsin,DGI+GPPT,0.2217±0.1531,0.0836±0.0544,0.5075±0.0302
Node,1shot,Wisconsin,DGI+Gprompt,0.7131±0.0508,0.5358±0.0590,0.7948±0.0290
Node,1shot,Wisconsin,DGI+GraphPrompter,0.2434±0.1242,0.1839±0.0630,0.5533±0.0199
Node,1shot,Wisconsin,DGI+PSP,0.1806±0.1280,0.0871±0.0403,0.5007±0.0398
Node,1shot,Wisconsin,DGI+ProNoG,0.2377±0.0974,0.2068±0.0735,0.5864±0.0413
Node,1shot,Wisconsin,DGI+Prodigy,0.2503±0.0849,0.1757±0.0416,0.5264±0.0475
Node,1shot,Wisconsin,DGI+RELIEF,0.2754±0.1722,0.0000±0.0000,0.0000±0.0000
Node,1shot,Wisconsin,DGI+SelfPro,0.4914±0.1183,0.4025±0.0902,0.7819±0.0262
Node,1shot,Wisconsin,DGI+UniPrompt,0.2777±0.1321,0.1943±0.0623,0.5560±0.0380
Node,1shot,Wisconsin,Edgepred_Gprompt+All-in-one,0.4921±0.0962,0.2739±0.0499,0.7430±0.0582
Node,1shot,Wisconsin,Edgepred_Gprompt+EdgePrompt,0.2297±0.0975,0.1710±0.0553,0.5451±0.0423
Node,1shot,Wisconsin,Edgepred_Gprompt+EdgePromptplus,0.2320±0.1156,0.1738±0.0718,0.5418±0.0438
Node,1shot,Wisconsin,Edgepred_Gprompt+GPF,0.7715±0.0268,0.6229±0.0642,0.8913±0.0270
Node,1shot,Wisconsin,Edgepred_Gprompt+GPF-plus,0.9138±0.0214,0.8254±0.0358,0.9751±0.0110
Node,1shot,Wisconsin,Edgepred_Gprompt+GPPT,0.2709±0.0795,0.2116±0.0410,0.5564±0.0300
Node,1shot,Wisconsin,Edgepred_Gprompt+Gprompt,0.8053±0.0199,0.6511±0.0376,0.9264±0.0299
Node,1shot,Wisconsin,Edgepred_Gprompt+GraphPrompter,0.2194±0.1005,0.1664±0.0644,0.5421±0.0501
Node,1shot,Wisconsin,Edgepred_Gprompt+PSP,0.1771±0.0834,0.1349±0.0279,0.4845±0.0345
Node,1shot,Wisconsin,Edgepred_Gprompt+ProNoG,0.2434±0.0950,0.2002±0.0553,0.5768±0.0526
Node,1shot,Wisconsin,Edgepred_Gprompt+Prodigy,0.2491±0.1175,0.1745±0.0670,0.5289±0.0510
Node,1shot,Wisconsin,Edgepred_Gprompt+RELIEF,0.1577±0.0529,0.0000±0.0000,0.0000±0.0000
Node,1shot,Wisconsin,Edgepred_Gprompt+SelfPro,0.4229±0.0911,0.3485±0.0615,0.7809±0.0127
Node,1shot,Wisconsin,Edgepred_Gprompt+UniPrompt,0.2503±0.0957,0.1876±0.0556,0.5540±0.0361
Node,1shot,Wisconsin,GraphCL+All-in-one,0.5746±0.0323,0.4272±0.0452,0.7455±0.0431
Node,1shot,Wisconsin,GraphCL+EdgePrompt,0.2686±0.0980,0.1766±0.0345,0.4932±0.0361
Node,1shot,Wisconsin,GraphCL+EdgePromptplus,0.2651±0.0905,0.1560±0.0357,0.5574±0.0402
Node,1shot,Wisconsin,GraphCL+GPF,0.5752±0.1709,0.3591±0.1051,0.7001±0.1043
Node,1shot,Wisconsin,GraphCL+GPF-plus,0.7158±0.0535,0.4651±0.0752,0.6983±0.1140
Node,1shot,Wisconsin,GraphCL+GPPT,0.2469±0.0533,0.1431±0.0333,0.5055±0.0355
Node,1shot,Wisconsin,GraphCL+Gprompt,0.8030±0.0483,0.6036±0.0372,0.8457±0.0691
Node,1shot,Wisconsin,GraphCL+GraphPrompter,0.2217±0.0645,0.1897±0.0410,0.5594±0.0472
Node,1shot,Wisconsin,GraphCL+PSP,0.1771±0.0921,0.1276±0.0428,0.5103±0.0382
Node,1shot,Wisconsin,GraphCL+ProNoG,0.2686±0.0619,0.2135±0.0449,0.5759±0.0118
Node,1shot,Wisconsin,GraphCL+Prodigy,0.2434±0.1245,0.1227±0.0679,0.5505±0.0409
Node,1shot,Wisconsin,GraphCL+RELIEF,0.2057±0.0663,0.0000±0.0000,0.0000±0.0000
Node,1shot,Wisconsin,GraphCL+SelfPro,0.5954±0.0704,0.4354±0.0577,0.8101±0.0136
Node,1shot,Wisconsin,GraphCL+UniPrompt,0.2537±0.1262,0.1787±0.0707,0.5546±0.0519
Node,1shot,Wisconsin,GraphMAE+RELIEF,0.1566±0.0392,0.0000±0.0000,0.0000±0.0000
Node,1shot,Wisconsin,MultiGprompt+MultiGprompt,0.1211±0.0797,0.1231±0.0373,0.6151±0.0625
Node,1shot,Wisconsin,None+All-in-one,0.2651±0.1250,0.1558±0.0639,0.6805±0.0575
Node,1shot,Wisconsin,None+EdgePrompt,0.2674±0.1193,0.1957±0.0387,0.5595±0.0529
Node,1shot,Wisconsin,None+EdgePromptplus,0.2857±0.1235,0.2089±0.0617,0.5594±0.0430
Node,1shot,Wisconsin,None+GPF,0.7761±0.0411,0.6480±0.0694,0.9070±0.0286
Node,1shot,Wisconsin,None+GPF-plus,0.7883±0.1140,0.6315±0.1240,0.9667±0.0213
Node,1shot,Wisconsin,None+GPPT,0.2857±0.1010,0.1978±0.0598,0.5490±0.0367
Node,1shot,Wisconsin,None+Gprompt,0.8134±0.0288,0.7091±0.0763,0.9286±0.0256
Node,1shot,Wisconsin,None+GraphPrompter,0.2606±0.1510,0.1889±0.0725,0.5553±0.0481
Node,1shot,Wisconsin,None+None,0.2811±0.1076,0.2013±0.0694,0.5611±0.0511
Node,1shot,Wisconsin,None+PSP,0.1234±0.0448,0.0996±0.0240,0.4879±0.0385
Node,1shot,Wisconsin,None+ProNoG,0.2743±0.1063,0.2235±0.0860,0.5958±0.0335
Node,1shot,Wisconsin,None+Prodigy,0.2606±0.1250,0.2048±0.0946,0.5584±0.0832
Node,1shot,Wisconsin,None+RELIEF,0.2057±0.1216,0.0000±0.0000,0.0000±0.0000
Node,1shot,Wisconsin,None+SelfPro,0.4914±0.1060,0.3604±0.0604,0.7829±0.0153
Node,1shot,Wisconsin,None+UniPrompt,0.2823±0.1203,0.1906±0.0533,0.5846±0.0442
Node,3shot,Cora,DGI+All-in-one,0.1893±0.0844,0.0790±0.0308,0.6876±0.0546
Node,3shot,Cora,DGI+EdgePrompt,0.1981±0.0617,0.1066±0.0362,0.5456±0.0284
Node,3shot,Cora,DGI+EdgePromptplus,0.1787±0.0424,0.0869±0.0362,0.5594±0.0087
Node,3shot,Cora,DGI+GPF,0.2721±0.0506,0.1391±0.0338,0.7833±0.0409
Node,3shot,Cora,DGI+GPF-plus,0.3127±0.0601,0.1931±0.0427,0.7997±0.0352
Node,3shot,Cora,DGI+GPPT,0.1246±0.0555,0.0458±0.0313,0.5409±0.0332
Node,3shot,Cora,DGI+Gprompt,0.4053±0.0569,0.3268±0.0477,0.6573±0.0330
Node,3shot,Cora,DGI+GraphPrompter,0.1888±0.0706,0.1011±0.0532,0.5761±0.0249
Node,3shot,Cora,DGI+PSP,0.1265±0.0170,0.0321±0.0038,0.5244±0.0331
Node,3shot,Cora,DGI+ProNoG,0.1746±0.0374,0.1445±0.0173,0.5347±0.0279
Node,3shot,Cora,DGI+Prodigy,0.1358±0.0399,0.0933±0.0236,0.5240±0.0186
Node,3shot,Cora,DGI+RELIEF,0.1499±0.0855,0.0000±0.0000,0.0000±0.0000
Node,3shot,Cora,DGI+SelfPro,0.2377±0.0864,0.2060±0.0865,0.7523±0.0284
Node,3shot,Cora,DGI+UniPrompt,0.1600±0.0508,0.0758±0.0188,0.5979±0.0276
Node,3shot,Cora,Edgepred_Gprompt+All-in-one,0.1793±0.0267,0.0682±0.0262,0.7751±0.0064
Node,3shot,Cora,Edgepred_Gprompt+EdgePrompt,0.2958±0.0233,0.2448±0.0233,0.6768±0.0172
Node,3shot,Cora,Edgepred_Gprompt+EdgePromptplus,0.2895±0.0300,0.2411±0.0306,0.6775±0.0089
Node,3shot,Cora,Edgepred_Gprompt+GPF,0.1406±0.0682,0.0572±0.0447,0.7240±0.0603
Node,3shot,Cora,Edgepred_Gprompt+GPF-plus,0.4645±0.0616,0.4586±0.0579,0.8341±0.0233
Node,3shot,Cora,Edgepred_Gprompt+GPPT,0.2038±0.0526,0.1251±0.0269,0.6438±0.0141
Node,3shot,Cora,Edgepred_Gprompt+Gprompt,0.5466±0.0541,0.5391±0.0428,0.8497±0.0229
Node,3shot,Cora,Edgepred_Gprompt+GraphPrompter,0.2995±0.0358,0.2561±0.0322,0.6922±0.0137
Node,3shot,Cora,Edgepred_Gprompt+PSP,0.1487±0.0832,0.0382±0.0153,0.4495±0.0428
Node,3shot,Cora,Edgepred_Gprompt+ProNoG,0.3042±0.0373,0.2913±0.0274,0.7082±0.0212
Node,3shot,Cora,Edgepred_Gprompt+Prodigy,0.1641±0.0362,0.0710±0.0561,0.6913±0.0195
Node,3shot,Cora,Edgepred_Gprompt+RELIEF,0.0998±0.0305,0.0000±0.0000,0.0000±0.0000
Node,3shot,Cora,Edgepred_Gprompt+SelfPro,0.2323±0.0292,0.1842±0.0156,0.6142±0.0142
Node,3shot,Cora,Edgepred_Gprompt+UniPrompt,0.2956±0.0297,0.2604±0.0303,0.6726±0.0165
Node,3shot,Cora,GraphCL+All-in-one,0.4075±0.1036,0.3457±0.0966,0.7185±0.0764
Node,3shot,Cora,GraphCL+EdgePrompt,0.3388±0.0542,0.3231±0.0441,0.7229±0.0435
Node,3shot,Cora,GraphCL+EdgePromptplus,0.4136±0.0656,0.3791±0.0617,0.7440±0.0475
Node,3shot,Cora,GraphCL+GPF,0.4775±0.0854,0.3210±0.0752,0.8050±0.0312
Node,3shot,Cora,GraphCL+GPF-plus,0.3724±0.1320,0.2643±0.0957,0.8036±0.0279
Node,3shot,Cora,GraphCL+GPPT,0.5324±0.0780,0.4972±0.0619,0.8435±0.0281
Node,3shot,Cora,GraphCL+Gprompt,0.4675±0.0719,0.4312±0.0661,0.8115±0.0359
Node,3shot,Cora,GraphCL+GraphPrompter,0.4399±0.0445,0.3953±0.0208,0.7610±0.0290
Node,3shot,Cora,GraphCL+PSP,0.1788±0.0977,0.1071±0.0458,0.4809±0.0615
Node,3shot,Cora,GraphCL+ProNoG,0.3764±0.0806,0.3571±0.0826,0.7672±0.0619
Node,3shot,Cora,GraphCL+Prodigy,0.4664±0.0833,0.3971±0.0798,0.7907±0.0504
Node,3shot,Cora,GraphCL+RELIEF,0.0904±0.0449,0.0000±0.0000,0.0000±0.0000
Node,3shot,Cora,GraphCL+SelfPro,0.2968±0.0467,0.2181±0.0620,0.7289±0.0315
Node,3shot,Cora,GraphCL+UniPrompt,0.4584±0.0285,0.4349±0.0285,0.7815±0.0142
Node,3shot,Cora,GraphMAE+All-in-one,0.2652±0.0692,0.1470±0.0475,0.8057±0.0105
Node,3shot,Cora,GraphMAE+EdgePrompt,0.5338±0.0261,0.3930±0.0206,0.8566±0.0305
Node,3shot,Cora,GraphMAE+EdgePromptplus,0.5339±0.0254,0.3937±0.0205,0.8566±0.0308
Node,3shot,Cora,GraphMAE+GPF,0.2441±0.0912,0.1644±0.0785,0.8318±0.0258
Node,3shot,Cora,GraphMAE+GPF-plus,0.5075±0.0506,0.4952±0.0502,0.8530±0.0367
Node,3shot,Cora,GraphMAE+GPPT,0.3766±0.1207,0.3158±0.0781,0.7774±0.0455
Node,3shot,Cora,GraphMAE+Gprompt,0.6319±0.0278,0.5693±0.0300,0.8283±0.0325
Node,3shot,Cora,GraphMAE+GraphPrompter,0.5346±0.0264,0.3941±0.0204,0.8566±0.0305
Node,3shot,Cora,GraphMAE+PSP,0.1506±0.0848,0.0398±0.0178,0.4740±0.0645
Node,3shot,Cora,GraphMAE+ProNoG,0.5218±0.0599,0.4407±0.0856,0.8055±0.0423
Node,3shot,Cora,GraphMAE+Prodigy,0.2766±0.0760,0.1276±0.0343,0.8185±0.0441
Node,3shot,Cora,GraphMAE+RELIEF,0.1209±0.0345,0.0000±0.0000,0.0000±0.0000
Node,3shot,Cora,GraphMAE+SelfPro,0.4935±0.0276,0.3895±0.0454,0.8202±0.0129
Node,3shot,Cora,GraphMAE+UniPrompt,0.5412±0.0466,0.4129±0.0313,0.8705±0.0273
Node,3shot,Cora,MultiGprompt+MultiGprompt,0.6707±0.0575,0.6357±0.0618,0.9118±0.0146
Node,3shot,Cora,None+All-in-one,0.1735±0.0403,0.0669±0.0562,0.7591±0.0200
Node,3shot,Cora,None+EdgePrompt,0.3222±0.0931,0.2460±0.0739,0.7302±0.0098
Node,3shot,Cora,None+EdgePromptplus,0.2983±0.0628,0.2096±0.0524,0.7269±0.0325
Node,3shot,Cora,None+GPF,0.1731±0.0997,0.0611±0.0548,0.7425±0.0399
Node,3shot,Cora,None+GPF-plus,0.5207±0.0944,0.5036±0.0655,0.8735±0.0219
Node,3shot,Cora,None+GPPT,0.2755±0.0909,0.2383±0.0719,0.7475±0.0508
Node,3shot,Cora,None+Gprompt,0.5745±0.0666,0.5680±0.0553,0.8616±0.0270
Node,3shot,Cora,None+GraphPrompter,0.2588±0.0484,0.1889±0.0416,0.7410±0.0233
Node,3shot,Cora,None+None,0.4096±0.1174,0.4123±0.0975,0.8505±0.0444
Node,3shot,Cora,None+PSP,0.1511±0.0813,0.0407±0.0151,0.4623±0.0538
Node,3shot,Cora,None+ProNoG,0.4325±0.0697,0.4213±0.0660,0.7722±0.0438
Node,3shot,Cora,None+Prodigy,0.2425±0.0817,0.0737±0.0123,0.7434±0.0314
Node,3shot,Cora,None+RELIEF,0.1262±0.0295,0.0000±0.0000,0.0000±0.0000
Node,3shot,Cora,None+SelfPro,0.2551±0.0225,0.2309±0.0175,0.6510±0.0076
Node,3shot,Cora,None+UniPrompt,0.2739±0.0844,0.1914±0.0501,0.7205±0.0516
Node,3shot,Wisconsin,DGI+All-in-one,0.4624±0.1992,0.3140±0.1218,0.6599±0.1047
Node,3shot,Wisconsin,DGI+EdgePrompt,0.3634±0.0663,0.2893±0.0455,0.5994±0.0466
Node,3shot,Wisconsin,DGI+EdgePromptplus,0.3817±0.0722,0.2897±0.0466,0.6017±0.0472
Node,3shot,Wisconsin,DGI+GPF,0.6993±0.1289,0.6135±0.0588,0.7947±0.0422
Node,3shot,Wisconsin,DGI+GPF-plus,0.8651±0.1260,0.7746±0.0780,0.9388±0.0506
Node,3shot,Wisconsin,DGI+GPPT,0.1691±0.1167,0.1030±0.0869,0.5360±0.0348
Node,3shot,Wisconsin,DGI+Gprompt,0.5200±0.1961,0.4930±0.1184,0.7835±0.0721
Node,3shot,Wisconsin,DGI+GraphPrompter,0.3726±0.0543,0.2938±0.0446,0.5946±0.0477
Node,3shot,Wisconsin,DGI+PSP,0.1017±0.0189,0.0747±0.0097,0.4926±0.0550
Node,3shot,Wisconsin,DGI+ProNoG,0.3371±0.1028,0.3044±0.0748,0.6460±0.0576
Node,3shot,Wisconsin,DGI+Prodigy,0.3200±0.0489,0.2462±0.0436,0.5807±0.0509
Node,3shot,Wisconsin,DGI+RELIEF,0.2411±0.1595,0.0000±0.0000,0.0000±0.0000
Node,3shot,Wisconsin,DGI+SelfPro,0.4891±0.0982,0.3979±0.0857,0.8161±0.0251
Node,3shot,Wisconsin,DGI+UniPrompt,0.3623±0.0691,0.2950±0.0465,0.6107±0.0466
Node,3shot,Wisconsin,Edgepred_Gprompt+All-in-one,0.4116±0.1073,0.2706±0.0515,0.7785±0.0499
Node,3shot,Wisconsin,Edgepred_Gprompt+EdgePrompt,0.3006±0.0399,0.2420±0.0160,0.5960±0.0227
Node,3shot,Wisconsin,Edgepred_Gprompt+EdgePromptplus,0.3246±0.0267,0.2765±0.0229,0.6135±0.0184
Node,3shot,Wisconsin,Edgepred_Gprompt+GPF,0.8442±0.1229,0.7545±0.0855,0.9425±0.0373
Node,3shot,Wisconsin,Edgepred_Gprompt+GPF-plus,0.8738±0.1279,0.8064±0.1034,0.9865±0.0165
Node,3shot,Wisconsin,Edgepred_Gprompt+GPPT,0.3097±0.0301,0.2553±0.0226,0.5991±0.0207
Node,3shot,Wisconsin,Edgepred_Gprompt+Gprompt,0.8562±0.1308,0.8151±0.0964,0.9527±0.0506
Node,3shot,Wisconsin,Edgepred_Gprompt+GraphPrompter,0.3017±0.0417,0.2542±0.0473,0.5917±0.0324
Node,3shot,Wisconsin,Edgepred_Gprompt+PSP,0.2503±0.0865,0.1499±0.0276,0.5381±0.0359
Node,3shot,Wisconsin,Edgepred_Gprompt+ProNoG,0.3726±0.0665,0.3206±0.0455,0.6507±0.0569
Node,3shot,Wisconsin,Edgepred_Gprompt+Prodigy,0.3211±0.0560,0.2440±0.0122,0.5935±0.0166
Node,3shot,Wisconsin,Edgepred_Gprompt+RELIEF,0.2514±0.0945,0.0000±0.0000,0.0000±0.0000
Node,3shot,Wisconsin,Edgepred_Gprompt+SelfPro,0.4709±0.1005,0.3755±0.0525,0.7864±0.0148
Node,3shot,Wisconsin,Edgepred_Gprompt+UniPrompt,0.2937±0.0316,0.2379±0.0238,0.6015±0.0077
Node,3shot,Wisconsin,GraphCL+All-in-one,0.6419±0.0836,0.4899±0.0773,0.8079±0.0456
Node,3shot,Wisconsin,GraphCL+EdgePrompt,0.3280±0.0410,0.2170±0.0431,0.5430±0.0511
Node,3shot,Wisconsin,GraphCL+EdgePromptplus,0.3897±0.1045,0.2725±0.0462,0.5841±0.0424
Node,3shot,Wisconsin,GraphCL+GPF,0.7616±0.1281,0.5507±0.0917,0.8197±0.0893
Node,3shot,Wisconsin,GraphCL+GPF-plus,0.7000±0.1795,0.5663±0.1261,0.8453±0.0760
Node,3shot,Wisconsin,GraphCL+GPPT,0.1909±0.0299,0.1566±0.0496,0.5500±0.0299
Node,3shot,Wisconsin,GraphCL+Gprompt,0.8229±0.1404,0.7394±0.1112,0.9312±0.0511
Node,3shot,Wisconsin,GraphCL+GraphPrompter,0.3360±0.0811,0.2420±0.0567,0.5778±0.0519
Node,3shot,Wisconsin,GraphCL+PSP,0.2057±0.0995,0.1317±0.0345,0.5306±0.0522
Node,3shot,Wisconsin,GraphCL+ProNoG,0.3897±0.1059,0.3280±0.0829,0.6431±0.0504
Node,3shot,Wisconsin,GraphCL+Prodigy,0.3463±0.1280,0.1983±0.0701,0.5373±0.0747
Node,3shot,Wisconsin,GraphCL+RELIEF,0.1851±0.0650,0.0000±0.0000,0.0000±0.0000
Node,3shot,Wisconsin,GraphCL+SelfPro,0.4217±0.1498,0.2953±0.0724,0.7833±0.0272
Node,3shot,Wisconsin,GraphCL+UniPrompt,0.2640±0.0624,0.2043±0.0460,0.5904±0.0321
Node,3shot,Wisconsin,GraphMAE+RELIEF,0.2411±0.0888,0.0000±0.0000,0.0000±0.0000
Node,3shot,Wisconsin,MultiGprompt+MultiGprompt,0.2411±0.0604,0.2372±0.0345,0.6936±0.0420
Node,3shot,Wisconsin,None+All-in-one,0.3760±0.1855,0.2079±0.0916,0.6642±0.0777
Node,3shot,Wisconsin,None+EdgePrompt,0.3714±0.0612,0.2902±0.0494,0.6431±0.0386
Node,3shot,Wisconsin,None+EdgePromptplus,0.3269±0.0545,0.2640±0.0440,0.6240±0.0331
Node,3shot,Wisconsin,None+GPF,0.8428±0.1307,0.7559±0.0865,0.9030±0.0456
Node,3shot,Wisconsin,None+GPF-plus,0.8662±0.1249,0.7598±0.1055,0.9648±0.0264
Node,3shot,Wisconsin,None+GPPT,0.3577±0.0725,0.2749±0.0289,0.6152±0.0324
Node,3shot,Wisconsin,None+Gprompt,0.8599±0.1265,0.8403±0.0882,0.9446±0.0588
Node,3shot,Wisconsin,None+GraphPrompter,0.3577±0.0767,0.2973±0.0719,0.6362±0.0421
Node,3shot,Wisconsin,None+None,0.3634±0.0686,0.3092±0.0400,0.6477±0.0291
Node,3shot,Wisconsin,None+PSP,0.1657±0.1171,0.1048±0.0310,0.5076±0.0544
Node,3shot,Wisconsin,None+ProNoG,0.3737±0.0855,0.3421±0.0746,0.6756±0.0521
Node,3shot,Wisconsin,None+Prodigy,0.3429±0.0317,0.2683±0.0518,0.6219±0.0316
Node,3shot,Wisconsin,None+RELIEF,0.2366±0.1228,0.0000±0.0000,0.0000±0.0000
Node,3shot,Wisconsin,None+SelfPro,0.4789±0.0884,0.4132±0.0448,0.8026±0.0209
Node,3shot,Wisconsin,None+UniPrompt,0.3303±0.0381,0.2782±0.0369,0.6280±0.0182
Node,5shot,Cora,DGI+All-in-one,0.1912±0.0573,0.0843±0.0289,0.6952±0.0624
Node,5shot,Cora,DGI+EdgePrompt,0.1722±0.0758,0.0984±0.0539,0.5925±0.0185
Node,5shot,Cora,DGI+EdgePromptplus,0.1522±0.0529,0.0712±0.0261,0.5866±0.0263
Node,5shot,Cora,DGI+GPF,0.2883±0.0551,0.1399±0.0305,0.8034±0.0368
Node,5shot,Cora,DGI+GPF-plus,0.3078±0.0350,0.1858±0.0357,0.8275±0.0311
Node,5shot,Cora,DGI+GPPT,0.1364±0.0824,0.0439±0.0349,0.5215±0.0160
Node,5shot,Cora,DGI+Gprompt,0.2954±0.0977,0.2310±0.0946,0.6942±0.0443
Node,5shot,Cora,DGI+GraphPrompter,0.1547±0.0475,0.0744±0.0232,0.5915±0.0227
Node,5shot,Cora,DGI+PSP,0.1280±0.0179,0.0324±0.0040,0.5225±0.0333
Node,5shot,Cora,DGI+ProNoG,0.1500±0.0209,0.1208±0.0132,0.5221±0.0327
Node,5shot,Cora,DGI+Prodigy,0.1588±0.0388,0.1000±0.0248,0.5205±0.0129
Node,5shot,Cora,DGI+RELIEF,0.1239±0.0319,0.0000±0.0000,0.0000±0.0000
Node,5shot,Cora,DGI+SelfPro,0.3065±0.0618,0.2649±0.0616,0.7433±0.0117
Node,5shot,Cora,DGI+UniPrompt,0.1796±0.0723,0.1130±0.0595,0.6221±0.0191
Node,5shot,Cora,Edgepred_Gprompt+All-in-one,0.1193±0.0382,0.0301±0.0088,0.7049±0.0566
Node,5shot,Cora,Edgepred_Gprompt+EdgePrompt,0.3356±0.0309,0.3089±0.0309,0.7279±0.0229
Node,5shot,Cora,Edgepred_Gprompt+EdgePromptplus,0.3266±0.0246,0.2951±0.0332,0.7255±0.0216
Node,5shot,Cora,Edgepred_Gprompt+GPF,0.1070±0.0559,0.0359±0.0294,0.7915±0.0321
Node,5shot,Cora,Edgepred_Gprompt+GPF-plus,0.5776±0.1016,0.5219±0.1305,0.8641±0.0477
Node,5shot,Cora,Edgepred_Gprompt+GPPT,0.2071±0.0245,0.1293±0.0352,0.7224±0.0135
Node,5shot,Cora,Edgepred_Gprompt+Gprompt,0.5801±0.0403,0.5597±0.0392,0.8604±0.0121
Node,5shot,Cora,Edgepred_Gprompt+GraphPrompter,0.3422±0.0163,0.3029±0.0214,0.7224±0.0184
Node,5shot,Cora,Edgepred_Gprompt+PSP,0.1448±0.0855,0.0369±0.0158,0.4560±0.0418
Node,5shot,Cora,Edgepred_Gprompt+ProNoG,0.3664±0.0356,0.3670±0.0366,0.7591±0.0228
Node,5shot,Cora,Edgepred_Gprompt+Prodigy,0.2067±0.0420,0.1027±0.0392,0.7226±0.0179
Node,5shot,Cora,Edgepred_Gprompt+RELIEF,0.1575±0.0590,0.0000±0.0000,0.0000±0.0000
Node,5shot,Cora,Edgepred_Gprompt+SelfPro,0.2245±0.0185,0.1809±0.0288,0.6239±0.0130
Node,5shot,Cora,Edgepred_Gprompt+UniPrompt,0.3288±0.0184,0.2957±0.0267,0.7199±0.0207
Node,5shot,Cora,GraphCL+All-in-one,0.3609±0.0590,0.2201±0.0402,0.7774±0.0362
Node,5shot,Cora,GraphCL+EdgePrompt,0.4950±0.0443,0.4670±0.0463,0.7882±0.0320
Node,5shot,Cora,GraphCL+EdgePromptplus,0.4546±0.0711,0.4379±0.0731,0.8099±0.0344
Node,5shot,Cora,GraphCL+GPF,0.4538±0.0818,0.3409±0.0741,0.8512±0.0214
Node,5shot,Cora,GraphCL+GPF-plus,0.5421±0.0488,0.4206±0.0577,0.9043±0.0138
Node,5shot,Cora,GraphCL+GPPT,0.5368±0.0442,0.4827±0.0510,0.8497±0.0222
Node,5shot,Cora,GraphCL+Gprompt,0.6275±0.0323,0.5766±0.0294,0.8754±0.0133
Node,5shot,Cora,GraphCL+GraphPrompter,0.4753±0.0940,0.4233±0.0781,0.7736±0.0511
Node,5shot,Cora,GraphCL+PSP,0.1425±0.0437,0.0926±0.0226,0.5061±0.0655
Node,5shot,Cora,GraphCL+ProNoG,0.5352±0.0663,0.5177±0.0532,0.8290±0.0109
Node,5shot,Cora,GraphCL+Prodigy,0.4951±0.0657,0.4658±0.0740,0.8213±0.0350
Node,5shot,Cora,GraphCL+RELIEF,0.1004±0.0386,0.0000±0.0000,0.0000±0.0000
Node,5shot,Cora,GraphCL+SelfPro,0.2644±0.0328,0.1981±0.0460,0.6899±0.0100
Node,5shot,Cora,GraphCL+UniPrompt,0.3954±0.0540,0.3839±0.0475,0.7702±0.0261
Node,5shot,Cora,GraphMAE+All-in-one,0.2157±0.0813,0.1016±0.0824,0.8416±0.0074
